Passengerid;Age;Fare;Sex;sibsp;Pclass;Embarked;Survived
842;16;105;0;0;2;2;0
843;30;31;1;0;1;0;1
844;345;64375;0;0;3;0;0
845;17;86625;0;0;3;2;0
846;42;755;0;0;3;2;0
847;28;6955;0;8;3;2;0
848;35;78958;0;0;3;0;0
849;28;33;0;0;2;2;0
850;28;891042;1;1;1;0;1
851;4;31275;0;4;3;2;0
852;74;7775;0;0;3;2;0
853;9;152458;1;1;3;0;0
854;16;394;1;0;1;2;1
855;44;26;1;1;2;2;0
856;18;935;1;0;3;2;1
857;45;1648667;1;1;1;2;1
858;51;2655;0;0;1;2;1
859;24;192583;1;0;3;0;1
860;28;72292;0;0;3;0;0
861;41;141083;0;2;3;2;0
862;21;115;0;1;2;2;0
863;48;259292;1;0;1;2;1
864;28;6955;1;8;3;2;0
865;24;13;0;0;2;2;0
866;42;13;1;0;2;2;1
867;27;138583;1;1;2;0;1
868;31;504958;0;0;1;2;0
869;28;95;0;0;3;2;0
870;4;111333;0;1;3;2;1
871;26;78958;0;0;3;2;0
872;47;525542;1;1;1;2;1
873;33;5;0;0;1;2;0
874;47;9;0;0;3;2;0
875;28;24;1;1;2;0;1
876;15;7225;1;0;3;0;1
877;20;98458;0;0;3;2;0
878;19;78958;0;0;3;2;0
879;28;78958;0;0;3;2;0
880;56;831583;1;0;1;0;1
881;25;26;1;0;2;2;1
882;33;78958;0;0;3;2;0
883;22;105167;1;0;3;2;0
884;28;105;0;0;2;2;0
885;25;705;0;0;3;2;0
886;39;29125;1;0;3;1;0
887;27;13;0;0;2;2;0
888;19;30;1;0;1;2;1
889;28;2345;1;1;3;2;0
890;26;30;0;0;1;0;1
891;32;775;0;0;3;1;0
892;345;78292;0;0;3;1;0
893;47;7;1;1;3;2;0
894;62;96875;0;0;2;1;0
895;27;86625;0;0;3;2;0
896;22;122875;1;1;3;2;0
897;14;9225;0;0;3;2;0
898;30;76292;1;0;3;1;0
899;26;29;0;1;2;2;0
900;18;72292;1;0;3;0;0
901;21;2415;0;2;3;2;0
902;28;78958;0;0;3;2;0
903;46;26;0;0;1;2;0
904;23;822667;1;1;1;2;0
905;63;26;0;1;2;2;0
906;47;61175;1;1;1;2;0
907;24;277208;1;1;2;0;0
908;35;1235;0;0;2;1;0
909;21;7225;0;0;3;0;0
910;27;7925;1;1;3;2;0
911;45;7225;1;0;3;0;0
912;55;594;0;1;1;0;0
913;9;31708;0;0;3;2;0
914;28;316833;1;0;1;2;0
915;21;613792;0;0;1;0;0
916;48;262375;1;1;1;0;0
917;50;145;0;1;3;2;0
918;22;619792;1;0;1;0;0
919;225;7225;0;0;3;0;0
920;41;305;0;0;1;2;0
921;28;216792;0;2;3;0;0
922;50;26;0;1;2;2;0
923;24;315;0;2;2;2;0
924;33;20575;1;1;3;2;0
925;28;2345;1;1;3;2;0
926;30;5775;0;1;1;0;0
927;185;72292;0;0;3;0;0
928;28;805;1;0;3;2;0
929;21;86625;1;0;3;2;0
930;25;95;0;0;3;2;0
931;28;564958;0;0;3;2;0
932;39;134167;0;0;3;0;0
933;28;2655;0;0;1;2;0
934;41;785;0;0;3;2;0
935;30;13;1;0;2;2;0
936;45;525542;1;1;1;2;0
937;25;7925;0;0;3;2;0
938;45;297;0;0;1;0;0
939;28;775;0;0;3;1;0
940;60;762917;1;0;1;0;0
941;36;159;1;0;3;2;0
942;24;60;0;1;1;2;0
943;27;150333;0;0;2;0;0
944;20;23;1;2;2;2;0
945;28;263;1;3;1;2;0
946;28;155792;0;0;2;0;0
947;10;29125;0;4;3;1;0
948;35;78958;0;0;3;2;0
949;25;765;0;0;3;2;0
950;28;161;0;1;3;2;0
951;36;262375;1;0;1;0;0
952;17;78958;0;0;3;2;0
953;32;135;0;0;2;2;0
954;18;775;0;0;3;2;0
955;22;7725;1;0;3;1;0
956;13;262375;0;2;1;0;0
957;28;21;1;0;2;2;0
958;18;78792;1;0;3;1;0
959;47;424;0;0;1;2;0
960;31;285375;0;0;1;0;0
961;60;263;1;1;1;2;0
962;24;775;1;0;3;1;0
963;21;78958;0;0;3;2;0
964;29;7925;1;0;3;2;0
965;285;277208;0;0;1;0;0
966;35;2115;1;0;1;0;0
967;325;2115;0;0;1;0;0
968;28;805;0;0;3;2;0
969;55;257;1;2;1;2;0
970;30;13;0;0;2;2;0
971;24;775;1;0;3;1;0
972;6;152458;0;1;3;0;0
973;67;2217792;0;1;1;2;0
974;49;26;0;0;1;2;0
975;28;78958;0;0;3;2;0
976;28;107083;0;0;2;1;0
977;28;144542;0;1;3;0;0
978;27;78792;1;0;3;1;0
979;18;805;1;0;3;2;0
980;28;775;1;0;3;1;0
981;2;23;0;1;2;2;0
982;22;139;1;1;3;2;0
983;28;7775;0;0;3;2;0
984;27;52;1;1;1;2;0
985;28;805;0;0;3;2;0
986;25;26;0;0;1;0;0
987;25;77958;0;0;3;2;0
988;76;7885;1;1;1;2;0
989;29;7925;0;0;3;2;0
990;20;78542;1;0;3;2;0
991;33;805;0;0;3;2;0
992;43;554417;1;1;1;0;0
993;27;26;0;1;2;2;0
994;28;775;0;0;3;1;0
995;26;7775;0;0;3;2;0
996;16;85167;1;1;3;0;0
997;28;22525;0;0;3;2;0
998;21;78208;0;0;3;1;0
999;28;775;0;0;3;1;0
1000;28;87125;0;0;3;2;0
1001;185;13;0;0;2;2;0
1002;41;150458;0;0;2;0;0
1003;28;77792;1;0;3;1;0
1004;36;316792;1;0;1;0;0
1005;185;72833;1;0;3;1;0
1006;63;2217792;1;1;1;2;0
1007;18;144542;0;1;3;0;0
1008;28;64375;0;0;3;0;0
1009;1;167;1;1;3;2;0
1010;36;752417;0;0;1;0;0
1011;29;26;1;1;2;2;0
1012;12;1575;1;0;2;2;0
1013;28;775;0;1;3;1;0
1014;35;5775;1;1;1;0;0
1015;28;725;0;0;3;2;0
1016;28;775;0;0;3;1;0
1017;17;161;1;0;3;2;0
1018;22;77958;0;0;3;2;0
1019;28;2325;1;2;3;1;0
1020;42;13;0;0;2;2;0
1021;24;805;0;0;3;2;0
1022;32;805;0;0;3;2;0
1023;53;285;0;0;1;0;0
1024;28;254667;1;0;3;2;0
1025;28;64375;0;1;3;0;0
1026;43;78958;0;0;3;2;0
1027;24;78542;0;0;3;2;0
1028;265;7225;0;0;3;0;0
1029;26;13;0;0;2;2;0
1030;23;805;1;0;3;2;0
1031;40;469;0;1;3;2;0
1032;10;469;1;5;3;2;0
1033;33;15155;1;0;1;2;0
1034;61;262375;0;1;1;0;0
1035;28;26;0;0;2;2;0
1036;42;2655;0;0;1;2;0
1037;31;18;0;3;3;2;0
1038;28;518625;0;0;1;2;0
1039;22;805;0;0;3;2;0
1040;28;2655;0;0;1;2;0
1041;30;26;0;1;2;2;0
1042;23;831583;1;0;1;0;0
1043;28;78958;0;0;3;0;0
1044;605;144542;0;0;3;2;0
1045;36;121833;1;0;3;2;0
1046;13;313875;0;4;3;2;0
1047;24;755;0;0;3;2;0
1048;29;2217792;1;0;1;2;0
1049;23;78542;1;0;3;2;0
1050;42;2655;0;0;1;2;0
1051;26;13775;1;0;3;2;0
1052;28;77333;1;0;3;1;0
1053;7;152458;0;1;3;0;0
1054;26;135;1;0;2;2;0
1055;28;7;0;0;3;2;0
1056;41;13;0;0;2;2;0
1057;26;22025;1;1;3;2;0
1058;48;504958;0;0;1;0;0
1059;18;34375;0;2;3;2;0
1060;28;277208;1;0;1;0;0
1061;22;89625;1;0;3;2;0
1062;28;755;0;0;3;2;0
1063;27;7225;0;0;3;0;0
1064;23;139;0;1;3;2;0
1065;28;72292;0;0;3;0;0
1066;40;313875;0;1;3;2;0
1067;15;39;1;0;2;2;0
1068;20;3675;1;0;2;2;0
1069;54;554417;0;1;1;0;0
1070;36;39;1;0;2;2;0
1071;64;831583;1;0;1;0;0
1072;30;13;0;0;2;2;0
1073;37;831583;0;1;1;0;0
1074;18;531;1;1;1;2;0
1075;28;775;0;0;3;1;0
1076;27;2475208;1;1;1;0;0
1077;40;16;0;0;2;2;0
1078;21;21;1;0;2;2;0
1079;17;805;0;2;3;2;0
1080;28;6955;1;8;3;2;0
1081;40;13;0;0;2;2;0
1082;34;26;0;1;2;2;0
1083;28;26;0;0;1;2;0
1084;115;145;0;1;3;2;0
1085;61;1235;0;0;2;1;0
1086;8;325;0;0;2;2;0
1087;33;78542;0;0;3;2;0
1088;6;1345;0;0;1;0;0
1089;18;7775;1;0;3;2;0
1090;23;105;0;0;2;2;0
1091;28;81125;1;0;3;2;0
1092;28;155;1;0;3;1;0
1093;33;144;0;0;3;2;0
1094;47;227525;0;1;1;0;0
1095;8;26;1;1;2;2;0
1096;25;105;0;0;2;2;0
1097;28;257417;0;0;1;0;0
1098;35;775;1;0;3;1;0
1099;24;105;0;0;2;2;0
1100;33;277208;1;0;1;0;0
1101;25;78958;0;0;3;2;0
1102;32;22525;0;0;3;2;0
1103;28;705;0;0;3;2;0
1104;17;735;0;0;2;2;0
1105;60;26;1;1;2;2;0
1106;38;7775;1;4;3;2;0
1107;42;425;0;0;1;2;0
1108;28;78792;1;0;3;1;0
1109;57;1648667;0;1;1;2;0
1110;50;2115;1;1;1;0;0
1111;28;805;0;0;3;2;0
1112;30;138583;1;1;2;0;0
1113;21;805;0;0;3;2;0
1114;22;105;1;0;2;2;0
1115;21;77958;0;0;3;2;0
1116;53;274458;1;0;1;0;0
1117;28;152458;1;0;3;0;0
1118;23;77958;0;0;3;2;0
1119;28;775;1;0;3;1;0
1120;405;151;0;0;3;2;0
1121;36;13;0;0;2;2;0
1122;14;65;0;0;2;2;0
1123;21;2655;1;0;1;2;0
1124;21;64958;0;1;3;2;0
1125;28;78792;0;0;3;1;0
1126;39;712833;0;1;1;0;0
1127;20;78542;0;0;3;2;0
1128;64;7525;0;1;1;0;0
1129;20;7225;0;0;3;0;0
1130;18;13;1;1;2;2;0
1131;48;106425;1;1;1;0;0
1132;55;277208;1;0;1;0;0
1133;45;30;1;0;2;2;0
1134;45;1345;0;1;1;0;0
1135;28;78875;0;0;3;2;0
1136;28;2345;0;1;3;2;0
1137;41;518625;0;1;1;2;0
1138;22;21;1;0;2;2;0
1139;42;325;0;1;2;2;0
1140;29;26;1;1;2;2;0
1141;28;144542;1;1;3;0;0
1142;92;2775;1;1;2;2;0
1143;20;7925;0;0;3;2;0
1144;27;1367792;0;1;1;0;0
1145;24;9325;0;0;3;2;0
1146;325;95;0;0;3;2;0
1147;28;755;0;0;3;2;0
1148;28;775;0;0;3;1;0
1149;28;805;0;0;3;2;0
1150;19;13;1;0;2;2;0
1151;21;7775;0;0;3;2;0
1152;365;174;0;1;3;2;0
1153;21;78542;0;0;3;2;0
1154;29;23;1;0;2;2;0
1155;1;121833;1;1;3;2;0
1156;30;127375;0;0;2;0;0
1157;28;78958;0;0;3;2;0
1158;28;0;0;0;1;2;0
1159;28;755;0;0;3;2;0
1160;28;805;1;0;3;2;0
1161;17;86625;0;0;3;2;0
1162;46;752417;0;0;1;0;0
1163;28;775;0;0;3;1;0
1164;26;1367792;1;1;1;0;0
1165;28;155;1;1;3;1;0
1166;28;7225;0;0;3;0;0
1167;20;26;1;1;2;2;0
1168;28;105;0;0;2;2;0
1169;40;26;0;1;2;2;0
1170;30;21;0;1;2;2;0
1171;22;105;0;0;2;2;0
1172;23;86625;1;0;3;2;0
1173;75;13775;0;1;3;2;0
1174;28;775;1;0;3;1;0
1175;9;152458;1;1;3;0;0
1176;2;202125;1;1;3;2;0
1177;36;725;0;0;3;2;0
1178;28;725;0;0;3;2;0
1179;24;822667;0;1;1;2;0
1180;28;72292;0;0;3;0;0
1181;28;805;0;0;3;2;0
1182;28;396;0;0;1;2;0
1183;30;695;1;0;3;1;0
1184;28;72292;0;0;3;0;0
1185;53;818583;0;1;1;2;0
1186;36;95;0;0;3;2;0
1187;26;78958;0;0;3;2;0
1188;1;415792;1;1;2;0;0
1189;28;216792;0;2;3;0;0
1190;30;455;0;0;1;2;0
1191;29;78542;0;0;3;2;0
1192;32;7775;0;0;3;2;0
1193;28;150458;0;0;2;0;0
1194;43;21;0;0;2;2;0
1195;24;86625;0;0;3;2;0
1196;28;775;1;0;3;1;0
1197;64;2655;1;1;1;2;0
1198;30;15155;0;1;1;2;0
1199;83;935;0;0;3;2;0
1200;55;935;0;1;1;2;0
1201;45;141083;1;1;3;2;0
1202;18;86625;0;0;3;2;0
1203;22;7225;0;0;3;0;0
1204;28;7575;0;0;3;2;0
1205;37;775;1;0;3;1;0
1206;55;1356333;1;0;1;0;0
1207;17;77333;1;0;3;1;0
1208;57;1465208;0;1;1;0;0
1209;19;105;0;0;2;2;0
1210;27;78542;0;0;3;2;0
1211;22;315;0;2;2;2;0
1212;26;7775;0;0;3;2;0
1213;25;72292;0;0;3;0;0
1214;26;13;0;0;2;2;0
1215;33;2655;0;0;1;2;0
1216;39;2113375;1;0;1;2;0
1217;23;705;0;0;3;2;0
1218;12;39;1;2;2;2;0
1219;46;792;0;0;1;0;0
1220;29;26;0;1;2;2;0
1221;21;13;0;0;2;2;0
1222;48;3675;1;0;2;2;0
1223;39;297;0;0;1;0;0
1224;28;7225;0;0;3;0;0
1225;19;157417;1;1;3;0;0
1226;27;78958;0;0;3;2;0
1227;30;26;0;0;1;2;0
1228;32;13;0;0;2;2;0
1229;39;72292;0;0;3;0;0
1230;25;315;0;0;2;2;0
1231;28;72292;0;0;3;0;0
1232;18;105;0;0;2;2;0
1233;32;75792;0;0;3;2;0
1234;28;6955;0;1;3;2;0
1235;58;5123292;1;0;1;0;0
1236;28;145;0;1;3;2;0
1237;16;765;1;0;3;2;0
1238;26;13;0;0;2;2;0
1239;38;72292;1;0;3;0;0
1240;24;135;0;0;2;2;0
1241;31;21;1;0;2;2;0
1242;45;633583;1;0;1;0;0
1243;25;105;0;0;2;2;0
1244;18;735;0;0;2;2;0
1245;49;65;0;1;2;2;0
1246;17;20575;1;1;3;2;0
1247;50;26;0;0;1;2;0
1248;59;514792;1;2;1;2;0
1249;28;78792;0;0;3;2;0
1250;28;775;0;0;3;1;0
1251;30;1555;1;1;3;2;0
1252;145;6955;0;8;3;2;0
1253;24;370042;1;1;2;0;0
1254;31;21;1;0;2;2;0
1255;27;86625;0;0;3;2;0
1256;25;554417;1;1;1;0;0
1257;28;6955;1;1;3;2;0
1258;28;144583;0;1;3;0;0
1259;22;396875;1;0;3;2;0
1260;45;594;1;0;1;0;0
1261;29;138583;0;0;2;0;0
1262;21;115;0;1;2;2;0
1263;31;1345;1;0;1;0;0
1264;49;0;0;0;1;2;0
1265;44;13;0;0;2;2;0
1266;54;818583;1;1;1;2;0
1267;45;262375;1;0;1;0;0
1268;22;86625;1;2;3;2;0
1269;21;115;0;0;2;2;0
1270;55;50;0;0;1;2;0
1271;5;313875;0;4;3;2;0
1272;28;775;0;0;3;1;0
1273;26;78792;0;0;3;1;0
1274;28;145;1;0;3;2;0
1275;19;161;1;1;3;2;0
1276;28;12875;0;0;2;2;0
1277;24;65;1;1;2;2;0
1278;24;7775;0;0;3;2;0
1279;57;13;0;0;2;2;0
1280;21;775;0;0;3;1;0
1281;6;21075;0;3;3;2;0
1282;23;935;0;0;1;2;0
1283;51;394;1;0;1;2;0
1284;13;2025;0;0;3;2;0
1285;47;105;0;0;2;2;0
1286;29;22025;0;3;3;2;0
1287;18;60;1;1;1;2;0
1288;24;725;0;0;3;1;0
1289;48;792;1;1;1;0;0
1290;22;7775;0;0;3;2;0
1291;31;77333;0;0;3;1;0
1292;30;1648667;1;0;1;2;0
1293;38;21;0;1;2;2;0
1294;22;594;1;0;1;0;0
1295;17;471;0;0;1;2;0
1296;43;277208;0;1;1;0;0
1297;20;138625;0;0;2;0;0
1298;23;105;0;1;2;2;0
1299;50;2115;0;1;1;0;0
1300;28;77208;1;0;3;1;0
1301;3;13775;1;1;3;2;0
1302;28;775;1;0;3;1;0
1303;37;90;1;1;1;1;0
1304;28;7775;1;0;3;2;0
1305;28;805;0;0;3;2;0
1306;39;1089;1;0;1;0;0
1307;385;725;0;0;3;2;0
1308;28;805;0;0;3;2;0
1309;28;223583;0;1;3;0;0
